"","id","first_name","height_feet","height_inches","last_name","position","weight_pounds","team.id","team.abbreviation","team.city","team.conference","team.division","team.full_name","team.name"
"990",1461,"Vincent",NA,NA,"Yarbrough","",NA,8,"DEN","Denver","West","Northwest","Denver Nuggets","Nuggets"
"991",1462,"Mike",NA,NA,"Wilks","G",NA,1,"ATL","Atlanta","East","Southeast","Atlanta Hawks","Hawks"
"992",1463,"Paul",NA,NA,"Shirley","",NA,1,"ATL","Atlanta","East","Southeast","Atlanta Hawks","Hawks"
"993",1464,"Antoine",NA,NA,"Rigaudeau","",NA,7,"DAL","Dallas","West","Southwest","Dallas Mavericks","Mavericks"
"994",1465,"Jamal",NA,NA,"Sampson","",NA,17,"MIL","Milwaukee","East","Central","Milwaukee Bucks","Bucks"
"995",1466,"Roger",NA,NA,"Mason Jr.","",NA,5,"CHI","Chicago","East","Central","Chicago Bulls","Bulls"
"996",1467,"Chris",NA,NA,"Owens","",NA,15,"MEM","Memphis","West","Southwest","Memphis Grizzlies","Grizzlies"
"997",1468,"T.J.",NA,NA,"Ford","",NA,17,"MIL","Milwaukee","East","Central","Milwaukee Bucks","Bucks"
"998",1469,"Zoran",NA,NA,"Planinic","",NA,3,"BKN","Brooklyn","East","Atlantic","Brooklyn Nets","Nets"
"999",1470,"Josh",NA,NA,"Howard","",NA,7,"DAL","Dallas","West","Southwest","Dallas Mavericks","Mavericks"
"1000",1471,"Marquis",NA,NA,"Daniels","",NA,7,"DAL","Dallas","West","Southwest","Dallas Mavericks","Mavericks"
"1001",1472,"Luke",NA,NA,"Walton","",NA,14,"LAL","Los Angeles","West","Pacific","Los Angeles Lakers","Lakers"
"1002",1473,"Jerome",NA,NA,"Beasley","",NA,16,"MIA","Miami","East","Southeast","Miami Heat","Heat"
"1003",1474,"Willie",NA,NA,"Green","",NA,23,"PHI","Philadelphia","East","Atlantic","Philadelphia 76ers","76ers"
"1004",1475,"Zarko",NA,NA,"Cabarkapa","",NA,24,"PHX","Phoenix","West","Pacific","Phoenix Suns","Suns"
"1005",1476,"Leandro",NA,NA,"Barbosa","",NA,24,"PHX","Phoenix","West","Pacific","Phoenix Suns","Suns"
"1006",1477,"Keith",NA,NA,"McLeod","",NA,18,"MIN","Minnesota","West","Northwest","Minnesota Timberwolves","Timberwolves"
"1007",1478,"Ndudi",NA,NA,"Ebi","",NA,18,"MIN","Minnesota","West","Northwest","Minnesota Timberwolves","Timberwolves"
"1008",1479,"Boris",NA,NA,"Diaw","",NA,1,"ATL","Atlanta","East","Southeast","Atlanta Hawks","Hawks"
"1009",1480,"Travis",NA,NA,"Hansen","",NA,1,"ATL","Atlanta","East","Southeast","Atlanta Hawks","Hawks"
"1010",1481,"David",NA,NA,"West","",NA,19,"NOP","New Orleans","West","Southwest","New Orleans Pelicans","Pelicans"
"1011",1482,"Chris",NA,NA,"Bosh","",NA,28,"TOR","Toronto","East","Atlantic","Toronto Raptors","Raptors"
"1012",1483,"Ben",NA,NA,"Handlogten","",NA,29,"UTA","Utah","West","Northwest","Utah Jazz","Jazz"
"1013",1484,"Sasha",NA,NA,"Pavlovic","",NA,29,"UTA","Utah","West","Northwest","Utah Jazz","Jazz"
"1014",1485,"Raul",NA,NA,"Lopez","",NA,29,"UTA","Utah","West","Northwest","Utah Jazz","Jazz"
"1015",1486,"Mo",NA,NA,"Williams","",NA,29,"UTA","Utah","West","Northwest","Utah Jazz","Jazz"
"1016",1487,"Jason",NA,NA,"Kapono","",NA,6,"CLE","Cleveland","East","Central","Cleveland Cavaliers","Cavaliers"
"1017",1488,"Darius",NA,NA,"Songaila","",NA,26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings"
"1018",1489,"Mickael",NA,NA,"Pietrus","",NA,10,"GSW","Golden State","West","Pacific","Golden State Warriors","Warriors"
"1019",1490,"Britton",NA,NA,"Johnsen","F",NA,22,"ORL","Orlando","East","Southeast","Orlando Magic","Magic"
"1020",1491,"Reece",NA,NA,"Gaines","",NA,22,"ORL","Orlando","East","Southeast","Orlando Magic","Magic"
"1021",1492,"Michael",NA,NA,"Sweetney","",NA,20,"NYK","New York","East","Atlantic","New York Knicks","Knicks"
"1022",1493,"Marcus",NA,NA,"Banks","",NA,2,"BOS","Boston","East","Atlantic","Boston Celtics","Celtics"
"1023",1494,"Francisco",NA,NA,"Elson","",NA,8,"DEN","Denver","West","Northwest","Denver Nuggets","Nuggets"
"1024",1495,"Darko",NA,NA,"Milicic","",NA,9,"DET","Detroit","East","Central","Detroit Pistons","Pistons"
"1025",1496,"Jarvis",NA,NA,"Hayes","F",NA,30,"WAS","Washington","East","Southeast","Washington Wizards","Wizards"
"1026",1497,"Steve",NA,NA,"Blake","",NA,30,"WAS","Washington","East","Southeast","Washington Wizards","Wizards"
"1027",1498,"Torraye",NA,NA,"Braggs","",NA,11,"HOU","Houston","West","Southwest","Houston Rockets","Rockets"
"1028",1499,"Chris",NA,NA,"Kaman","",NA,13,"LAC","LA","West","Pacific","LA Clippers","Clippers"
"1029",1500,"Luke",NA,NA,"Ridnour","",NA,21,"OKC","Oklahoma City","West","Northwest","Oklahoma City Thunder","Thunder"
"1030",1501,"Richie",NA,NA,"Frahm","",NA,21,"OKC","Oklahoma City","West","Northwest","Oklahoma City Thunder","Thunder"
"1031",1502,"Troy",NA,NA,"Bell","",NA,15,"MEM","Memphis","West","Southwest","Memphis Grizzlies","Grizzlies"
"1032",1503,"Kirk",NA,NA,"Penney","",NA,16,"MIA","Miami","East","Southeast","Miami Heat","Heat"
"1033",1504,"Matt",NA,NA,"Carroll","",NA,25,"POR","Portland","West","Northwest","Portland Trail Blazers","Trail Blazers"
"1034",1505,"Kirk",NA,NA,"Hinrich","",NA,5,"CHI","Chicago","East","Central","Chicago Bulls","Bulls"
"1035",1506,"Linton",NA,NA,"Johnson","",NA,5,"CHI","Chicago","East","Central","Chicago Bulls","Bulls"
"1036",1507,"Keith",NA,NA,"Bogans","",NA,22,"ORL","Orlando","East","Southeast","Orlando Magic","Magic"
"1037",1508,"Alex",NA,NA,"Garcia","",NA,27,"SAS","San Antonio","West","Southwest","San Antonio Spurs","Spurs"
"1038",1509,"Maciej",NA,NA,"Lampe","",NA,24,"PHX","Phoenix","West","Pacific","Phoenix Suns","Suns"
"1039",1510,"Theron",NA,NA,"Smith","",NA,15,"MEM","Memphis","West","Southwest","Memphis Grizzlies","Grizzlies"
"1040",1511,"Curtis",NA,NA,"Borchardt","",NA,29,"UTA","Utah","West","Northwest","Utah Jazz","Jazz"
"1041",1512,"Travis",NA,NA,"Outlaw","",NA,25,"POR","Portland","West","Northwest","Portland Trail Blazers","Trail Blazers"
"1042",1513,"Kendrick",NA,NA,"Perkins","",NA,2,"BOS","Boston","East","Atlantic","Boston Celtics","Celtics"
"1043",1514,"Dahntay",NA,NA,"Jones","",NA,15,"MEM","Memphis","West","Southwest","Memphis Grizzlies","Grizzlies"
"1044",1515,"Kaniel",NA,NA,"Dickens","",NA,25,"POR","Portland","West","Northwest","Portland Trail Blazers","Trail Blazers"
"1045",1516,"Brian",NA,NA,"Cook","",NA,14,"LAL","Los Angeles","West","Pacific","Los Angeles Lakers","Lakers"
"1046",1517,"James",NA,NA,"Jones","",NA,12,"IND","Indiana","East","Central","Indiana Pacers","Pacers"
"1047",1518,"Brandon",NA,NA,"Hunter","",NA,2,"BOS","Boston","East","Atlantic","Boston Celtics","Celtics"
"1048",1519,"Slavko",NA,NA,"Vranes","",NA,25,"POR","Portland","West","Northwest","Portland Trail Blazers","Trail Blazers"
"1049",1520,"Ronald",NA,NA,"Dupree","",NA,5,"CHI","Chicago","East","Central","Chicago Bulls","Bulls"
