"","last_name","first_name","team","PER","WS.48","BPM","VORP"
"330","Miller","Darius","NOH",6.3,0.034,-2.7,-0.1
"331","Thomas","Lance","NOH",10.1,0.087,-3,-0.2
"332","Henry","Xavier","NOH",7.6,0.002,-5.7,-0.6
"333","Amundson","Lou","NOH",11.7,0.065,-1.1,0
"334","McGuire","Dominic","NOH",9.1,0.043,-0.6,0
"335","Harris","Terrel","NOH",-6.8,-0.267,-13.3,-0.3
"336","Warrick","Hakim","NOH",28.8,0.353,14,0
"337","Sloan","Donald","NOH",-3.3,-0.212,-9.4,0
"338","Sims","Henry","NOH",29.2,0.061,-1.2,0
"339","Smith","J.R.","NYK",17.6,0.12,1.3,2.2
"340","Anthony","Carmelo","NYK",24.8,0.184,4.3,3.9
"341","Felton","Raymond","NYK",15.2,0.087,0.1,1.2
"342","Chandler","Tyson","NYK",18.9,0.207,1.3,1.8
"343","Kidd","Jason","NYK",13.5,0.128,3.3,2.7
"344","Novak","Steve","NYK",11.3,0.116,0.1,0.9
"345","Prigioni","Pablo","NYK",13,0.123,0.1,0.7
"346","Shumpert","Iman","NYK",11.7,0.094,-0.1,0.5
"347","Copeland","Chris","NYK",16.8,0.117,-0.5,0.3
"348","Brewer","Ronnie","NYK",10.2,0.057,-0.8,0.2
"349","Stoudemire","Amar'e","NYK",22.1,0.191,0.7,0.5
"350","White","James","NYK",9.1,0.051,-3.1,-0.1
"351","Martin","Kenyon","NYK",13.9,0.128,-1.1,0.1
"352","Thomas","Kurt","NYK",13.3,0.135,-0.1,0.2
"353","Wallace","Rasheed","NYK",16.7,0.101,-1,0.1
"354","Camby","Marcus","NYK",8.6,0.007,-3.6,-0.1
"355","Barron","Earl","NYK",15.4,0.069,-4.9,0
"356","Richardson","Quentin","NYK",0.7,-0.181,-14.9,-0.1
"357","Jones","Solomon","NYK",-5.7,-0.172,-10.9,-0.1
"358","Durant","Kevin","OKC",28.3,0.291,9.3,8.9
"359","Westbrook","Russell","OKC",23.9,0.195,4.4,4.6
"360","Ibaka","Serge","OKC",19.4,0.181,1.5,2.2
"361","Sefolosha","Thabo","OKC",12.8,0.146,2.4,2.5
"362","Martin","Kevin","OKC",16,0.157,1,1.6
"363","Perkins","Kendrick","OKC",8.2,0.062,-1.8,0.1
"364","Collison","Nick","OKC",13.6,0.158,0.9,1.2
"365","Jackson","Reggie","OKC",14.2,0.121,0.1,0.5
"366","Thabeet","Hasheem","OKC",11.6,0.134,-1.5,0.1
"367","Maynor","Eric","OKC",7.5,-0.003,-5,-0.3
"368","Fisher","Derek","OKC",7,0.046,-3.2,-0.1
"369","Liggins","DeAndre","OKC",9.4,0.092,-0.7,0.1
"370","Jones","Perry","OKC",7.8,-0.003,-7.3,-0.4
"371","Lamb","Jeremy","OKC",11.2,0.058,-5.4,-0.1
"372","Brewer","Ronnie","OKC",9.1,0.072,-0.6,0.1
"373","Orton","Daniel","OKC",14,0.135,-3.1,0
"374","Vučević","Nikola","ORL",17.8,0.106,-0.5,0.9
"375","Afflalo","Arron","ORL",13,0.042,-2.9,-0.5
"376","Nelson","Jameer","ORL",14.4,0.05,-1.2,0.4
"377","Harkless","Maurice","ORL",12.5,0.059,-1.3,0.4
"378","Moore","E'Twaun","ORL",10.7,0.006,-2.3,-0.1
"379","Redick","J.J.","ORL",16.1,0.097,0.4,0.9
"380","Nicholson","Andrew","ORL",15.1,0.065,-2.7,-0.2
"381","Davis","Glen","ORL",15,0.035,-1.9,0
"382","Harris","Tobias","ORL",17,0.092,0,0.5
"383","Jones","DeQuan","ORL",8.4,0.007,-4.5,-0.5
"384","Udrih","Beno","ORL",14.9,0.073,-1.3,0.1
"385","McRoberts","Josh","ORL",10.2,0.051,-1.9,0
"386","O'Quinn","Kyle","ORL",15.8,0.107,-1.6,0.1
"387","Ayón","Gustavo","ORL",11.7,0.061,-2,0
"388","Smith","Ish","ORL",7.2,-0.073,-5.2,-0.3
"389","Lamb","Doron","ORL",6.5,0.01,-5.7,-0.3
"390","Türkoğlu","Hedo","ORL",3.4,-0.116,-8.2,-0.3
"391","Harrington","Al","ORL",10.3,-0.012,-4.5,-0.1
"392","Holiday","Jrue","PHI",16.7,0.055,0.5,1.9
